Kurzname;Haltestelle;Linie;Barrierefreiheit;Ausstieg;Aufzug;Rolltreppe
ABW;Bonner Wall;17;JA;;;
AEB;Am Emberg;4;eingeschraenkt;;;
AKA;Akazienweg;3, 4;JA;;;
AMG;Amsterdamer Straße/Gürtel;13;JA;;;
AMG;Amsterdamer Straße/Gürtel;16;eingeschraenkt;;;
ANU;Arnulfstraße;18;JA;;;
APB;Appellhofplatz/Zeughaus;5;NEIN;;;
APB;Appellhofplatz/Breite Straße;3, 4, 16, 18;JA;;;
ASG;Aachener Straße/Gürtel;1, 7;JA;;;
ASG;Aachener Straße/Gürtel;13;NEIN;;;
ATP;Altonaer Platz;15;JA;;;
AUT;Autobahn;9;JA;;;
BAB;Barbarossaplatz;12, 15;JA;;;
BAB;Barbarossaplatz;16, 18;NEIN;;;
BAH;Bahnstraße;1;JA;;;
BDK;Bf Deutz/LANXESS arena;3, 4;JA;;;
BDM;Bf Deutz/Messe;1, 9;JA;;;
BFG;Godorf Bf;16;eingeschraenkt;;;
BFM;Bf Mülheim;13, 18;JA;;;
BHE;Buchheim Herler Straße;3, 13, 18;JA;;;
BIK;Rochusplatz;3, 4;JA;;;
BMP;Brück Mauspfad;1;JA;;;
BNO;Brühl Nord;18;JA;;;
BOC;Bocklemünd;3, 4;JA;;;
BOT;Boltensternstraße;18;JA;;;
BRA;Brahmsstraße;7;JA;;;
BRE;Breslauer Platz/Hbf;5, 16, 18;JA;;;
BRG;Berrenrather Straße/Gürtel;13;NEIN;;;
BRK;Rodenkirchen Bf;16, 17;JA;;;
BRM;Brühl Mitte;18;eingeschraenkt;;;
BRS;Brühl Süd;18;JA;;;
BSB;Bensberg;1;JA;;;
BUC;Buchheim Frankfurter Straße;3;JA;;;
BZT;Frechen-Benzelrath;7;JA;;;
CBS;Clarenbachstift;1;JA;;;
CHW;Chorweiler;15;JA;;;
CPH;Christophstraße/Mediapark;12, 15;JA;;;
CWP;Chlodwigplatz;15, 17;JA;;;
CWP;Chlodwigplatz;16;NEIN;;;
DBS;Dasselstraße/Bf Süd;9;JA;;;
DHS;Dellbrück Hauptstraße;3, 13;JA;;;
DMP;Dellbrück Mauspfad;3, 13;JA;;;
DOM;Dom/Hbf;5, 16, 18;JA;;;
DRE;Drehbrücke;7;JA;;;
DSG;Dürener Straße/Gürtel;7;JA;;;
DSG;Dürener Straße/Gürtel;13;NEIN;;;
DZB;Deutz Technische Hochschule;1, 9;NEIN;;;
DZF;Deutzer Freiheit;7;JA;;;
DZF;Deutzer Freiheit;1, 9;eingeschraenkt;;;
EBP;Ebertplatz;12, 15, 16, 18;JA;;;
ECH;Escher Straße;13;NEIN;;;
EFR;Efferen;18;JA;;;
EFS;Eifelstraße;12, 15;JA;;;
EFS;Eifelstraße;16;NEIN;;;
EFW;Eifelwall/Stadtarchiv;18;JA;;;
EGI;Ensen Gilgaustraße;7;JA;;;
EIF;Eifelplatz;12;JA;;;
EKL;Ensen Kloster;7;JA;;;
EUP;Eupener Straße;1;JA;;;
EUS;Euskirchener Straße;13;NEIN;;;
FDS;Fuldaer Straße;1;NEIN;;;
FIB;Fischenich;18;JA;;;
FKF;Frankenforst;1;JA;;;
FLE;Flehbachstraße;1;JA;;;
FLO;Florastraße;12, 15;JA;;;
FRB;Frechen Bf;7;JA;;;
FRK;Frechen Kirche;7;JA;;;
FRR;Frechen Rathaus;7;JA;;;
FSP;Friesenplatz;3, 4, 5, 12, 15;NEIN;;;
FWM;Fordwerke Mitte;12;JA;;;
FWN;Fordwerke Nord;12;JA;;;
FWS;Fordwerke Süd;12;JA;;;
GEE;Geestemünder Straße;12;JA;;;
GOW;Gottesweg;12;JA;;;
GRU;Grünstraße;4;JA;;;
GSG;Gleueler Straße/Gürtel;13;NEIN;;;
GSP;Geldernstraße/Parkgürtel;13;NEIN;;;
GUT;Gutenbergstraße;5;JA;;;
HBP;Hans-Böckler-Platz/Bf West;3, 4, 5;JA;;;
HEI;Heimersdorf;15;JA;;;
HFD;Herforder Straße;15;JA;;;
HFR;Sportpark Höhenberg;1;eingeschraenkt;;;
HGW;Zollstockgürtel;12;JA;;;
HHB;Hürth-Hermülheim;18;JA;;;
HLU;Heinrich-Lübke-Ufer;16, 17;JA;;;
HMG;Heumarkt;1, 5, 7, 9;JA;;;
HSR;Hansaring;12, 15;JA;;;
HTH;Herthastraße;12;JA;;;
HVO;Haus Vorst;7;eingeschraenkt;;;
IAK;IKEA Am Butzweilerhof;5;JA;;;
IHK;Im Hoppenkamp;1;eingeschraenkt;;;
ILT;Iltisstraße;5;JA;;;
IMW;Im Weidenbruch;4;JA;;;
JUK;Junkersdorf;1;JA;;;
KAF;Kalker Friedhof;1;JA;;;
KAT;Kartäuserhof;17;JA;;;
KEU;Keupstraße;4;JA;;;
KGF;Königsforst;9;JA;;;
KIB;Kiebitzweg;18;JA;;;
KIP;Kippekausen;1;JA;;;
KKP;Kalk Kapelle;1, 9;JA;;;
KKR;Kinderkrankenhaus;16;JA;;;
KLB;Klettenbergpark;18;JA;;;
KNS;Kölner Straße;1;JA;;;
KOE;Alter Flughafen Butzweilerhof;5;JA;;;
KOR;Körnerstraße;3, 4;JA;;;
KPO;Kalk Post;1, 9;JA;;;
KPS;Sparkasse Am Butzweilerhof;5;JA;;;
LEN;Lenauplatz;5;JA;;;
LEU;Leuchterstraße;4;JA;;;
LEY;Leyendeckerstraße;3, 4;JA;;;
LGR;Longerich Friedhof;15;NEIN;;;
LGS;Longericher Straße;15;JA;;;
LIE;Liebigstraße;5;JA;;;
LIN;Uniklinik Köln;9;JA;;;
LOH;Lohsestraße;12, 15;NEIN;;;
LUS;Lustheide;1;JA;;;
MAA;Maarweg;1;JA;;;
MAD;Marsdorf;7;eingeschraenkt;;;
MAK;Mauritiuskirche;9;JA;;;
MAR;Margaretastraße;5;JA;;;
MBA;Mülheim Berliner Straße;4;JA;;;
MEE;Meerfeldstraße;15;JA;;;
MEK;Merkenich;12;JA;;;
MEL;Melaten;1, 7;JA;;;
MEM;Merkenich Mitte;12;JA;;;
MEN;Görlinger-Zentrum;3;JA;;;
MGD;Alter Militärring;1;JA;;;
MHG;Mühlengasse;7;JA;;;
MHS;Maria Himmelfahrt Straße;3, 13;JA;;;
MIC;Michaelshoven;16, 17;JA;;;
MLG;Weinsbergstraße/Gürtel;13;NEIN;;;
MOL;Moltkestraße;1, 7;JA;;;
MOM;Mommsenstraße;9;JA;;;
MOW;Mollwitzstraße;12, 15;JA;;;
MRH;Merheim;1;JA;;;
MSO;Koelnmesse;3, 4;JA;;;
MWG;Mohnweg;1;JA;;;
NBS;Nußbaumerstraße;5, 13;NEIN;;;
NEU;Neumarkt;1, 3, 4, 7, 9, 16, 18;JA;;;
NEW;Neuenweg;1;JA;;;
NFS;Neufelder Straße;3, 13;JA;;;
NIL;Niehl Nord;12;JA;;;
NIS;Niehl Sebastianstraße;16;JA;;;
NRO;Nesselrodestraße;16;JA;;;
NSG;Neusser Straße/Gürtel;12, 13, 15;JA;;;
OBU;Bayenthalgürtel;16, 17;JA;;;
ODS;Odenthaler Straße;4;JA;;;
OHR;Ollenhauerring;3;JA;;;
OJS;Melatengürtel;13;NEIN;;;
OSH;Ostheim;9;JA;;;
PAB;Poll Baumschulenweg;7;JA;;;
PAB;Poll Baumschulenweg;7;JA;;;
PIU;Piusstraße;3, 4;JA;;;
PKI;Poller Kirchweg;7;JA;;;
POH;Pohligstraße;12;JA;;;
POS;Poll Salmstraße;7;JA;;;
POZ;Porzer Straße;9;JA;;;
PSS;Poststraße;3, 4, 16, 18;JA;;;
PST;Porz Steinstraße;7;JA;;;
PZM;Porz Markt;7;JA;;;
RAI;Raiffeisenstraße;7;JA;;;
RAT;Rathaus;5;JA;;;
RDP;Rudolfplatz;1, 7, 12, 15;JA;;;
RFR;Refrath;1;JA;;;
RHM;Rath/Heumar;9;JA;;;
RKL;Rektor-Klein-Straße;5;JA;;;
ROE;Röttgensweg;9;JA;;;
RPP;Reichenspergerplatz;16, 18;NEIN;;;
RSH;Rosenhügel;7;JA;;;
SBU;Sülzburgstraße;18;JA;;;
SCE;Scheibenstraße;12, 15;JA;;;
SEV;Severinstraße;3, 4, 17;JA;;;
SGH;Stüttgenhof;7;eingeschraenkt;;;
SGS;Siegstraße;16, 17;JA;;;
SHP;Sülz Hermeskeiler Platz;9;JA;;;
SHS;Schönhauser Straße;16, 17;JA;;;
SLA;Slabystraße;13, 18;NEIN;;;
SLB;Schlebusch;4;JA;;;
SRG;Schaffrathsgasse;3;JA;;;
SSG;Subbelrather Straße/Gürtel;5, 13;NEIN;;;
STD;RheinEnergieSTADION;1;JA;;;
STE;Stegerwaldsiedlung;3, 4;JA;;;
SUT;Sürth Bf;16, 17;JA;;;
SVB;Severinsbrücke;7;JA;;;
SVS;Suevenstraße;3, 4;JA;;;
SWG;Steinweg;9;JA;;;
SZG;Sülzgürtel;13, 18;JA;;;
THB;Thielenbruch;3, 13;JA;;;
UBI;Ubierring;15;JA;;;
UBI;Ubierring;16;NEIN;;;
ULR;Ulrepforte;15;JA;;;
ULR;Ulrepforte;16;NEIN;;;
UNI;Universität;9;JA;;;
UNV;Universitätsstraße;1, 7;JA;;;
URF;Urfeld;16;JA;;;
VGT;Vingst;9;JA;;;
VOC;Brühl Vochem;18;JA;;;
VRS;Holweide Vischeringstraße;3, 13, 18;JA;;;
VSG;Venloer Straße/Gürtel;3, 4;JA;;;
VSG;Venloer Straße/Gürtel;13;NEIN;;;
VSS;Von-Sparr-Straße;4;JA;;;
WBS;Westhoven Berliner Straße;7;JA;;;
WDK;Buchforst Waldecker Straße;3;JA;;;
WEN;Wesseling Nord;16;NEIN;;;
WEP;Weißhausstraße;18;JA;;;
WES;Wesseling;16;eingeschraenkt;;;
WEW;Weiden West;1;JA;;;
WEY;Weyertal;9;JA;;;
WIC;Wichheimer Straße;3, 13, 18;JA;;;
WKS;Westhoven Kölner Straße;7;eingeschraenkt;;;
WNS;Weiden Römergrab;1;JA;;;
WOF;Wolffsohnstraße;3, 4;JA;;;
WPL;Mülheim Wiener Platz;4, 13, 18;JA;;;
WRB;Weiden Zentrum;1;JA;;;
WSS;Wilhelm-Sollmann-Straße;12, 15;JA;;;
WUE;Wüllnerstraße;13;NEIN;;;
WUE;Wüllnerstraße;7;JA;;;
ZDF;Zündorf;7;JA;;;
ZPG;Zülpicher Straße/Gürtel;9;JA;;;
ZPG;Zülpicher Straße/Gürtel;13;NEIN;;;
ZPL;Zülpicher Platz;9, 12, 15;JA;;;
ZSF;Zollstock Südfriedhof;12;JA;;;