Kurzname;Haltestelle;Linie;Barrierefreiheit;Ebene;Ausstieg aus der Bahn;Gleis;Aufzug;Rolltreppe;Rampe
MEN;Görlinger-Zentrum;3;JA;;;;;;
WPL;Mülheim Wiener Platz;4;;Straße;;;;;
IAK;IKEA Am Butzweilerhof;5;JA;Straße;;;;;
ROE;Röttgensweg;9;JA;;;;;;
CWP;Chlodwigplatz;15;JA;Straße;;;;;
CWP;Chlodwigplatz;17;;;;;;;
BRS;Brühl Süd;18;JA;;;;;;
BAH;Bahnstraße;1;JA;Straße;;;;;
BMP;Brück Mauspfad;1;JA;;;;;;
BSB;Bensberg;1;JA;;;;;;
CBS;Clarenbachstift;1;JA;Straße;;;;;
EUP;Eupener Straße;1;JA;;;;;;
FDS;Fuldaer Straße;1;NEIN;;;;;;
FKF;Frankenforst;1;JA;;;;;;
FLE;Flehbachstraße;1;JA;;;;;;
HFR;Sportpark Höhenberg;1;eingeschraenkt;;;;;;
IHK;Im Hoppenkamp;1;eingeschraenkt;;;;;;
JUK;Junkersdorf;1;JA;Straße;;;;;
KAF;Kalker Friedhof;1;JA;;;;;;
KIP;Kippekausen;1;JA;;;;;;
KNS;Kölner Straße;1;JA;;;;;;
LUS;Lustheide;1;JA;;;;;;
MAA;Maarweg;1;JA;Straße;;;;;
MGD;Alter Militärring;1;JA;;;;;;
MRH;Merheim;1;JA;;;;;;
MWG;Mohnweg;1;JA;;;;;;
NEW;Neuenweg;1;JA;;;;;;
RFR;Refrath;1;JA;;;;;;
STD;RheinEnergieSTADION;1;JA;Straße;;;;;
WEW;Weiden West;1;JA;;;;;;
WNS;Weiden Römergrab;1;JA;;;;;;
WRB;Weiden Zentrum;1;JA;;;;;;
NEU;Neumarkt;1, 3, 4, 7, 9, 16, 18;JA;Straße;;;;;
HMG;Heumarkt;1, 5, 7, 9;JA;Straße;;;;;
ASG;Aachener Straße/Gürtel;1, 7;JA;Straße;;;;;
MEL;Melaten;1, 7;JA;Straße;;;;;
MOL;Moltkestraße;1, 7;JA;Straße;;;;;
RDP;Rudolfplatz;1, 7;;Straße;;;;;
UNV;Universitätsstraße;1, 7;JA;Straße;;;;;
BDM;Bf Deutz/Messe;1, 9;JA;U-Bahn;;;;;
DZB;Deutz Technische Hochschule;1, 9;JA;U-Bahn;;;;;
DZF;Deutzer Freiheit;1, 9;eingeschraenkt;U-Bahn;;;;;
KKP;Kalk Kapelle;1, 9;JA;U-Bahn;;;;;
KPO;Kalk Post;1, 9;JA;U-Bahn;;;;;
EIF;Eifelplatz;12;JA;Straße;;;;;
FWM;Fordwerke Mitte;12;JA;;;;;;
FWN;Fordwerke Nord;12;JA;;;;;;
FWS;Fordwerke Süd;12;JA;;;;;;
GEE;Geestemünder Straße;12;JA;;;;;;
GOW;Gottesweg;12;JA;Straße;;;;;
HGW;Zollstockgürtel;12;JA;Straße;;;;;
HTH;Herthastraße;12;JA;;;;;;
MEK;Merkenich;12;JA;;;;;;
MEM;Merkenich Mitte;12;JA;;;;;;
NIL;Niehl Nord;12;JA;;;;;;
POH;Pohligstraße;12;JA;Straße;;;;;
ZSF;Zollstock Südfriedhof;12;JA;Straße;;;;;
NSG;Neusser Straße/Gürtel;12, 13, 15;JA;Hochbahn;;;;;
BAB;Barbarossaplatz;12, 15;JA;Straße;No steps;;;;
CPH;Christophstraße/Mediapark;12, 15;JA;U-Bahn;;;;;
EFS;Eifelstraße;12, 15;JA;Straße;;;;;
FLO;Florastraße;12, 15;JA;U-Bahn;;;;;
HSR;Hansaring;12, 15;JA;;;;;;
LOH;Lohsestraße;12, 15;NEIN;U-Bahn;;;;;
MOW;Mollwitzstraße;12, 15;JA;Straße;;;;;
RDP;Rudolfplatz;12, 15;JA;U-Bahn;;;;;
SCE;Scheibenstraße;12, 15;JA;Straße;;;;;
WSS;Wilhelm-Sollmann-Straße;12, 15;JA;;;;;;
EBP;Ebertplatz;12, 15, 16, 18;JA;U-Bahn;;;;;
AMG;Amsterdamer Straße/Gürtel;13;JA;Hochbahn;;;J;;
ASG;Aachener Straße/Gürtel;13;NEIN;Straße;Hohe Stufen;;;;
BRG;Berrenrather Straße/Gürtel;13;NEIN;Straße;Hohe Stufen;;;;
DSG;Dürener Straße/Gürtel;13;NEIN;Straße;High steps;;;;
ECH;Escher Straße;13;NEIN;Hochbahn;;;;;
EUS;Euskirchener Straße;13;NEIN;;;;;;
GSG;Gleueler Straße/Gürtel;13;NEIN;;;;;;
GSP;Geldernstraße/Parkgürtel;13;NEIN;U-Bahn;;;;;
MLG;Weinsbergstraße/Gürtel;13;NEIN;Straße;Hohe Stufen, Bäume vor Tür;;;;
OJS;Melatengürtel;13;NEIN;Straße;;;;;
VSG;Venloer Straße/Gürtel;13;NEIN;;;;;;
WUE;Wüllnerstraße;13;NEIN;;;;;;
ZPG;Zülpicher Straße/Gürtel;13;NEIN;Straße;Hohe Stufen;;;;
BFM;Bf Mülheim;13, 18;JA;U-Bahn;;;;;
SLA;Slabystraße;13, 18;NEIN;;Stufen, Treppen;;;;
SZG;Sülzgürtel;13, 18;JA;Straße;;;;;
WPL;Mülheim Wiener Platz;13, 18;JA;U-Bahn;;;;;
ATP;Altonaer Platz;15;JA;;;;;;
CHW;Chorweiler;15;JA;;;;;;
HEI;Heimersdorf;15;JA;;;;;;
HFD;Herforder Straße;15;JA;;;;;;
LGR;Longerich Friedhof;15;NEIN;;;;;;
LGS;Longericher Straße;15;JA;;;;;;
MEE;Meerfeldstraße;15;JA;;;;;;
UBI;Ubierring;15;JA;Straße;;;;;
ULR;Ulrepforte;15;JA;Straße;;;;;
AMG;Amsterdamer Straße/Gürtel;16;eingeschraenkt;Straße;;;;;
BFG;Godorf Bf;16;eingeschraenkt;;;;;;
CWP;Chlodwigplatz;16;NEIN;Straße;stufen;;;;
EFS;Eifelstraße;16;NEIN;Straße;;;;;
KKR;Kinderkrankenhaus;16;JA;Straße;;;;;
NIS;Niehl Sebastianstraße;16;JA;Straße;;;;;
NRO;Nesselrodestraße;16;JA;Straße;;;;;
UBI;Ubierring;16;NEIN;Straße;;;;;
ULR;Ulrepforte;16;NEIN;Straße;;;;;
URF;Urfeld;16;JA;;;;;;
WEN;Wesseling Nord;16;NEIN;;;;;;
WES;Wesseling;16;eingeschraenkt;;;;;;
BRK;Rodenkirchen Bf;16, 17;JA;;;;;;
HLU;Heinrich-Lübke-Ufer;16, 17;JA;Straße;;;;;
MIC;Michaelshoven;16, 17;JA;;;;;;
OBU;Bayenthalgürtel;16, 17;JA;Straße;;;;;
SGS;Siegstraße;16, 17;JA;;;;;;
SHS;Schönhauser Straße;16, 17;JA;Straße;;;;;
SUT;Sürth Bf;16, 17;JA;;;;;;
BAB;Barbarossaplatz;16, 18;NEIN;Straße;High steps;;;;
BRE;Breslauer Platz/Hbf;16, 18;JA;U-Bahn;No steps;;;;
RPP;Reichenspergerplatz;16, 18;NEIN;U-Bahn;Hohe Stufen;;;;
ABW;Bonner Wall;17;JA;;;;;;
KAT;Kartäuserhof;17;JA;;;;;;
ANU;Arnulfstraße;18;JA;Straße;;;;;
BNO;Brühl Nord;18;JA;;;;;;
BOT;Boltensternstraße;18;JA;;;;;;
BRM;Brühl Mitte;18;eingeschraenkt;;;;;;
EFR;Efferen;18;JA;;;;;;
EFW;Eifelwall/Stadtarchiv;18;JA;Straße;;;;;
FIB;Fischenich;18;JA;;;;;;
HHB;Hürth-Hermülheim;18;JA;;;;;;
KIB;Kiebitzweg;18;JA;;;;;;
KLB;Klettenbergpark;18;JA;Straße;;;;;
SBU;Sülzburgstraße;18;JA;Straße;;;;;
VOC;Brühl Vochem;18;JA;;;;;;
WEP;Weißhausstraße;18;JA;;;;;;
BUC;Buchheim Frankfurter Straße;3;JA;;;;;;
OHR;Ollenhauerring;3;JA;;;;;;
SRG;Schaffrathsgasse;3;JA;;;;;;
WDK;Buchforst Waldecker Straße;3;JA;;;;;;
DHS;Dellbrück Hauptstraße;3, 13;JA;;;;;;
DMP;Dellbrück Mauspfad;3, 13;JA;;;;;;
MHS;Maria Himmelfahrt Straße;3, 13;JA;;;;;;
NFS;Neufelder Straße;3, 13;JA;;;;;;
THB;Thielenbruch;3, 13;JA;Straße;;;;;
BHE;Buchheim Herler Straße;3, 13, 18;JA;;;;;;
VRS;Holweide Vischeringstraße;3, 13, 18;JA;;;;;;
WIC;Wichheimer Straße;3, 13, 18;JA;;;;;;
AKA;Akazienweg;3, 4;JA;;;;;;
BDK;Bf Deutz/LANXESS arena;3, 4;JA;Straße;;;;;
BIK;Rochusplatz;3, 4;JA;;;;;;
BOC;Bocklemünd;3, 4;JA;;;;;;
KOR;Körnerstraße;3, 4;JA;U-Bahn;;;;;
LEY;Leyendeckerstraße;3, 4;JA;U-Bahn;;;;;
MSO;Koelnmesse;3, 4;JA;Straße;;;;;
PIU;Piusstraße;3, 4;JA;U-Bahn;;;;;
STE;Stegerwaldsiedlung;3, 4;JA;Straße;;;;;
SVS;Suevenstraße;3, 4;JA;Straße;;;;;
VSG;Venloer Straße/Gürtel;3, 4;JA;;;;;;
WOF;Wolffsohnstraße;3, 4;JA;;;;;;
APB;Appellhofplatz/Breite Straße;3, 4, 16, 18;JA;U-Bahn;;;J;;
PSS;Poststraße;3, 4, 16, 18;JA;Straße;;;;;
SEV;Severinstraße;3, 4, 17;JA;Straße;Erhöhter Bahnsteig;;;;
HBP;Hans-Böckler-Platz/Bf West;3, 4, 5;JA;U-Bahn;;;;;
FSP;Friesenplatz;3, 4, 5, 12, 15;NEIN;U-Bahn;;;;;
AEB;Am Emberg;4;eingeschraenkt;;;;;;
GRU;Grünstraße;4;JA;Straße;;;;;
IMW;Im Weidenbruch;4;JA;;;;;;
KEU;Keupstraße;4;JA;Straße;;;;;
LEU;Leuchterstraße;4;JA;;;;;;
MBA;Mülheim Berliner Straße;4;JA;Straße;;;;;
ODS;Odenthaler Straße;4;JA;;;;;;
SLB;Schlebusch;4;JA;;;;;;
VSS;Von-Sparr-Straße;4;JA;Straße;;;;;
APB;Appellhofplatz/Zeughaus;5;NEIN;U-Bahn;;;N;;
GUT;Gutenbergstraße;5;JA;Straße;;;;;
ILT;Iltisstraße;5;JA;Straße;;;;;
KOE;Alter Flughafen Butzweilerhof;5;JA;;;;;;
KPS;Sparkasse Am Butzweilerhof;5;JA;Straße;;;;;
LEN;Lenauplatz;5;JA;Straße;;;;;
LIE;Liebigstraße;5;JA;Straße;;;;;
MAR;Margaretastraße;5;JA;;;;;;
RAT;Rathaus;5;JA;U-Bahn;;;;;
RKL;Rektor-Klein-Straße;5;JA;;;;;;
NBS;Nußbaumerstraße;5, 13;NEIN;Straße;Hohe Stufen;;;;
SSG;Subbelrather Straße/Gürtel;5, 13;NEIN;Straße;Hohe Stufen;;;;
DOM;Dom/Hbf;5, 16, 18;JA;U-Bahn;No steps;;;;
BRA;Brahmsstraße;7;JA;;;;;;
BZT;Frechen-Benzelrath;7;JA;;;;;;
DRE;Drehbrücke;7;JA;Straße;No steps;;;;
DSG;Dürener Straße/Gürtel;7;JA;Straße;No steps;;;;
DZF;Deutzer Freiheit;7;JA;U-Bahn;;;;;
EGI;Ensen Gilgaustraße;7;JA;;;;;;
EKL;Ensen Kloster;7;JA;;;;;;
FRB;Frechen Bf;7;JA;;;;;;
FRK;Frechen Kirche;7;JA;;;;;;
FRR;Frechen Rathaus;7;JA;;;;;;
HVO;Haus Vorst;7;eingeschraenkt;;;;;;
MAD;Marsdorf;7;eingeschraenkt;Straße;;;;;
MHG;Mühlengasse;7;JA;;;;;;
PAB;Poll Baumschulenweg;7;JA;Straße;;;;;
PKI;Poller Kirchweg;7;JA;Straße;;;;;
POS;Poll Salmstraße;7;JA;Straße;;;;;
PST;Porz Steinstraße;7;JA;Straße;;;;;
PZM;Porz Markt;7;JA;Straße;;;;;
RAI;Raiffeisenstraße;7;JA;Straße;;;;;
RSH;Rosenhügel;7;JA;;;;;;
SGH;Stüttgenhof;7;eingeschraenkt;;;;;;
SVB;Severinsbrücke;7;JA;Straße;;;;;
WBS;Westhoven Berliner Straße;7;JA;;;;;;
WKS;Westhoven Kölner Straße;7;eingeschraenkt;;;;;;
WUE;Wüllnerstraße;7;JA;;;;;;
ZDF;Zündorf;7;JA;;;;;;
AUT;Autobahn;9;JA;;;;;;
DBS;Dasselstraße/Bf Süd;9;JA;Straße;No steps;;;;
KGF;Königsforst;9;JA;;;;;;
LIN;Uniklinik Köln;9;JA;Straße;;;;;
MAK;Mauritiuskirche;9;JA;Straße;;;;;
MOM;Mommsenstraße;9;JA;;;;;;
OSH;Ostheim;9;JA;;;;;;
POZ;Porzer Straße;9;JA;Straße;;;;;
RHM;Rath/Heumar;9;JA;;;;;;
SHP;Sülz Hermeskeiler Platz;9;JA;;;;;;
SWG;Steinweg;9;JA;;;;;;
UNI;Universität;9;JA;Straße;;;;;
VGT;Vingst;9;JA;;;;;;
WEY;Weyertal;9;JA;Straße;;;;;
ZPG;Zülpicher Straße/Gürtel;9;JA;Straße;;;;;
ZPL;Zülpicher Platz;9, 12, 15;JA;Straße;;;;;